TIME_KEY,YEAR,MONTH,DAY,WEEK_OF_YEAR,QUARTER
20180908,2018,9,8,36,3
20180909,2018,9,9,36,3
20180910,2018,9,10,37,3
20180911,2018,9,11,37,3
20180912,2018,9,12,37,3
20180913,2018,9,13,37,3
20180914,2018,9,14,37,3
20180915,2018,9,15,37,3
20180916,2018,9,16,37,3
20180917,2018,9,17,38,3
20180918,2018,9,18,38,3
20180919,2018,9,19,38,3
20180920,2018,9,20,38,3
20180921,2018,9,21,38,3
20180922,2018,9,22,38,3
20180923,2018,9,23,38,3
20180924,2018,9,24,39,3
20180925,2018,9,25,39,3
20180926,2018,9,26,39,3
20180927,2018,9,27,39,3
20180928,2018,9,28,39,3
20180929,2018,9,29,39,3
20180930,2018,9,30,39,3
20181001,2018,10,1,40,4
20181002,2018,10,2,40,4
20181003,2018,10,3,40,4
20181004,2018,10,4,40,4
20181005,2018,10,5,40,4
20181006,2018,10,6,40,4
20181007,2018,10,7,40,4
20181008,2018,10,8,41,4
20181009,2018,10,9,41,4
20181010,2018,10,10,41,4
20181011,2018,10,11,41,4
20181012,2018,10,12,41,4
20181013,2018,10,13,41,4
20181014,2018,10,14,41,4
20181015,2018,10,15,42,4
20181016,2018,10,16,42,4
20181017,2018,10,17,42,4
20181018,2018,10,18,42,4
20181019,2018,10,19,42,4
20181020,2018,10,20,42,4
20181021,2018,10,21,42,4
20181022,2018,10,22,43,4
20181023,2018,10,23,43,4
20181024,2018,10,24,43,4
20181025,2018,10,25,43,4
20181026,2018,10,26,43,4
20181027,2018,10,27,43,4
20181028,2018,10,28,43,4
20181029,2018,10,29,44,4
20181030,2018,10,30,44,4
20181031,2018,10,31,44,4
20181101,2018,11,1,44,4
20181102,2018,11,2,44,4
20181103,2018,11,3,44,4
20181104,2018,11,4,44,4
20181105,2018,11,5,45,4
20181106,2018,11,6,45,4
20181107,2018,11,7,45,4
20181108,2018,11,8,45,4
20181109,2018,11,9,45,4
20181110,2018,11,10,45,4
20181111,2018,11,11,45,4
20181112,2018,11,12,46,4
20181113,2018,11,13,46,4
20181114,2018,11,14,46,4
20181115,2018,11,15,46,4
20181116,2018,11,16,46,4
20181117,2018,11,17,46,4
20181118,2018,11,18,46,4
20181119,2018,11,19,47,4
20181120,2018,11,20,47,4
20181121,2018,11,21,47,4
20181122,2018,11,22,47,4
20181123,2018,11,23,47,4
20181124,2018,11,24,47,4
20181125,2018,11,25,47,4
20181126,2018,11,26,48,4
20181127,2018,11,27,48,4
20181128,2018,11,28,48,4
20181129,2018,11,29,48,4
20181130,2018,11,30,48,4
20181201,2018,12,1,48,4
20181202,2018,12,2,48,4
20181203,2018,12,3,49,4
20181204,2018,12,4,49,4
20181205,2018,12,5,49,4
20181206,2018,12,6,49,4
20181207,2018,12,7,49,4
20181208,2018,12,8,49,4
20181209,2018,12,9,49,4
20181210,2018,12,10,50,4
20181211,2018,12,11,50,4
20181212,2018,12,12,50,4
20181213,2018,12,13,50,4
20181214,2018,12,14,50,4
20181215,2018,12,15,50,4
20181216,2018,12,16,50,4
20181217,2018,12,17,51,4
20181218,2018,12,18,51,4
20181219,2018,12,19,51,4
20181220,2018,12,20,51,4
20181221,2018,12,21,51,4
20181222,2018,12,22,51,4
20181223,2018,12,23,51,4
20181224,2018,12,24,52,4
20181225,2018,12,25,52,4
20181226,2018,12,26,52,4
20181227,2018,12,27,52,4
20181228,2018,12,28,52,4
20181229,2018,12,29,52,4
20181230,2018,12,30,52,4
20181231,2018,12,31,1,4
20190101,2019,1,1,1,1
20190102,2019,1,2,1,1
20190103,2019,1,3,1,1
20190104,2019,1,4,1,1
20190105,2019,1,5,1,1
20190106,2019,1,6,1,1
